fish0_x;fish0_y;fish0_ori;fish1_x;fish1_y;fish1_ori
-0.35613700000000004;0.03640100000000002;-1.576335307179586;-0.278623;-0.330884;2.38419e-07
-0.35555000000000003;0.032677999999999985;-1.5043253071795863;-0.278623;-0.330884;2.38419e-07
-0.35559;0.027098000000000066;-1.5375153071795866;-0.278623;-0.330884;2.38419e-07
-0.354999;0.02399499999999999;-1.5763453071795857;-0.278623;-0.330884;2.38419e-07
-0.35502500000000003;0.02027599999999996;-1.5016953071795864;-0.278623;-0.330884;2.38419e-07
-0.354456;0.014074000000000031;-1.498845307179586;-0.278623;-0.330884;2.38419e-07
-0.353861;0.011591999999999936;-1.5763553071795862;-0.278623;-0.330884;2.38419e-07
-0.353901;0.006013999999999964;-1.538985307179586;-0.278623;-0.330884;2.38419e-07
-0.353932;0.0016760000000000108;-1.5017253071795862;-0.278623;-0.330884;2.38419e-07
-0.353946;-0.00018300000000004424;-1.5389953071795857;-0.278623;-0.330884;2.38419e-07
-0.352772;-0.007625999999999966;-1.464685307179586;-0.278623;-0.330884;2.38419e-07
-0.353408;-0.010719999999999952;-1.576385307179586;-0.278623;-0.330884;2.38419e-07
-0.352834;-0.016300000000000037;-1.4647053071795861;-0.278623;-0.330884;2.38419e-07
-0.352861;-0.020017000000000007;-1.4647053071795861;-0.278623;-0.330884;2.38419e-07
-0.351647;-0.021882000000000013;-1.5017653071795865;-0.278623;-0.330884;2.38419e-07
-0.35047;-0.02870299999999998;-1.539035307179586;-0.278623;-0.330884;2.38419e-07
-0.349878;-0.031803000000000026;-1.4332153071795863;-0.278623;-0.330884;2.38419e-07
-0.349919;-0.037376999999999994;-1.398125307179586;-0.278623;-0.330884;2.38419e-07
-0.349937;-0.03985500000000003;-1.4604953071795856;-0.278623;-0.330884;2.38419e-07
-0.34935;-0.043574;-1.464755307179586;-0.278623;-0.330884;2.38419e-07
-0.34878600000000004;-0.05038899999999996;-1.4224153071795866;-0.278623;-0.330884;2.38419e-07
-0.34819500000000003;-0.05348900000000001;-1.4647753071795862;-0.278623;-0.330884;2.38419e-07
-0.347631;-0.060302999999999995;-1.4332853071795864;-0.278623;-0.330884;2.38419e-07
-0.347653;-0.06339799999999995;-1.3848053071795858;-0.278623;-0.330884;2.38419e-07
-0.347058;-0.06587799999999999;-1.464805307179586;-0.278623;-0.330884;2.38419e-07
-0.346503;-0.07392899999999997;-1.4224753071795861;-0.278623;-0.330884;2.38419e-07
-0.344677;-0.075797;-1.4648153071795864;-0.278623;-0.330884;2.38419e-07
-0.34410799999999997;-0.08199000000000001;-1.4687853071795862;-0.278623;-0.330884;2.38419e-07
-0.343522;-0.08570700000000003;-1.4648453071795862;-0.278623;-0.330884;2.38419e-07
-0.344167;-0.09003500000000003;-1.422505307179586;-0.278623;-0.330884;2.38419e-07
-0.342981;-0.09561199999999997;-1.460605307179586;-0.278623;-0.330884;2.38419e-07
-0.341164;-0.09871600000000003;-1.4281453071795864;-0.278623;-0.330884;2.38419e-07
-0.3406;-0.10552600000000001;-1.3982953071795858;-0.278623;-0.330884;2.38419e-07
-0.34001000000000003;-0.10862299999999997;-1.4281653071795866;-0.278623;-0.330884;2.38419e-07
-0.339437;-0.11419400000000002;-1.4606453071795862;-0.278623;-0.330884;2.38419e-07
-0.338238;-0.11791299999999999;-1.3983253071795865;-0.278623;-0.330884;2.38419e-07
