fish0_x;fish0_y;fish0_ori;fish1_x;fish1_y;fish1_ori
-0.33521;-0.206337;-1.348105307179586;-0.390205;-0.4821051;2.88043
-0.335233;-0.209426;-1.385175307179586;-0.389618;-0.4814982;2.40862
-0.332827;-0.21561800000000003;-1.3117053071795857;-0.390205;-0.4821051;2.36144
-0.33223199999999997;-0.218092;-1.3777453071795858;-0.390803;-0.4821147;2.35672
-0.33041699999999996;-0.22119099999999997;-1.3481453071795864;-0.387813;-0.4820668;2.35625
-0.329845;-0.226754;-1.3777653071795868;-0.390803;-0.4821147;-1.570775307179586
-0.328025;-0.22923500000000002;-1.311745307179586;-0.390803;-0.4821147;-2.7488853071795862
-0.32684100000000005;-0.2348;-1.3481853071795866;-0.390803;-0.4821147;-2.7488853071795862
-0.326261;-0.239126;-1.3017053071795859;-0.391412;-0.4815269;-2.8470653071795864
-0.32504900000000003;-0.24098600000000003;-1.339405307179586;-0.391999;-0.4821338;-1.816225307179586
-0.323253;-0.246554;-1.3118053071795863;-0.387813;-0.4820668;-2.8716153071795865
-0.321442;-0.250269;-1.3017453071795861;-0.391999;-0.4821338;-1.8285053071795856
-0.32025400000000004;-0.255216;-1.3017653071795863;-0.388998;-0.4826833;-2.6169753071795863
-0.319056;-0.258927;-1.228835307179586;-0.388998;-0.4826833;-2.6169753071795863
-0.317855;-0.262021;-1.2648853071795862;-0.390205;-0.4821051;-1.7011753071795868
-0.316063;-0.268204;-1.276175307179586;-0.391999;-0.4821338;-0.8311853071795854
-0.31424399999999997;-0.27068400000000004;-1.264915307179587;-0.38902000000000003;-0.4814886;-2.379085307179586
-0.31183099999999997;-0.275636;-1.2649353071795861;-0.390205;-0.4821051;3.13015
-0.311237;-0.278108;-1.2762053071795858;-0.393783;-0.4827598;-1.9692153071795868
-0.310643;-0.28058099999999997;-1.2649553071795863;-0.390205;-0.4821051;-2.9481053071795857
-0.308235;-0.286149;-1.301865307179587;-0.391988;-0.4827311;-1.8667453071795856
-0.307024;-0.288008;-1.2649753071795864;-0.391999;-0.4821338;-2.8968753071795863
-0.30522400000000005;-0.29295499999999997;-1.2072553071795857;-0.4428715;-0.44887330000000003;-2.7583653071795866
-0.304013;-0.294813;-1.1444253071795867;-0.4428715;-0.44887330000000003;-2.7583653071795866
-0.302807;-0.297288;-1.215715307179586;-0.4494767;-0.447782;-1.7733453071795857
-0.301596;-0.299146;-1.1104453071795861;-0.4458528;-0.4495184;-1.8199453071795864
-0.300372;-0.29915400000000003;-1.0458553071795862;-0.4428605;-0.449471;-2.8749153071795863
-0.299147;-0.299161;-0.8990453071795859;-0.4440793;-0.4482945;-1.8315953071795859
-0.299142;-0.298543;-0.7615153071795868;-0.4428605;-0.449471;-2.880745307179586
-0.297912;-0.297934;-0.7360153071795867;-0.4446559;-0.4494994;-1.8345053071795858
-0.297295;-0.29732000000000003;-0.6238253071795867;-0.4470388;-0.4501351;-1.835225307179586
-0.296688;-0.29794;-0.5320753071795865;-0.4470388;-0.4501351;-1.835225307179586
-0.294841;-0.296717;-0.43432530717958606;-0.4446449;-0.4500972;-0.8380353071795863
-0.294836;-0.29610000000000003;-0.32702530717958656;-0.4422839;-0.4482661;-2.383955307179586
-0.292994;-0.295494;-0.23277530717958594;-0.4422839;-0.4482661;-2.383955307179586
-0.292387;-0.296114;-0.1894153071795861;-0.4452544;-0.4495089;2.73979
-0.29116200000000003;-0.296122;-0.11752530717958631;-0.4452872;-0.4477157;-2.165835307179586
-0.290545;-0.295508;-0.007695307179585775;-0.443448;-0.4500782;-1.4770553071795858
-0.288698;-0.294285;0.027723200000000003;-0.4440355;-0.4506854;-1.132665307179587
-0.28746400000000005;-0.29305800000000004;0.167758;-0.4452872;-0.4477157;3.05261
-0.28624400000000005;-0.293683;0.17411300000000002;-0.4458419;-0.4501161;2.70296
-0.285617;-0.29183499999999996;0.28883200000000003;-0.4458419;-0.4501161;2.70296
-0.28500000000000003;-0.291222;0.31196199999999996;-0.44406840000000003;-0.4488922;2.3568
-0.283148;-0.289381;0.357162;-0.4452653;-0.4489112;-2.3573253071795865
-0.281306;-0.288775;0.469095;-0.4416636;-0.449452;3.13958
-0.281301;-0.288158;0.453268;-0.4464732;-0.4483324;-1.9659353071795866
-0.280072;-0.287549;0.5298430000000001;-0.4440465;-0.4500877;-1.3770953071795864
-0.278215;-0.285091;0.597116;-0.4446559;-0.4494994;-2.3885353071795863
-0.27698;-0.283864;0.653327;-0.4446559;-0.4494994;-2.3885353071795863
-0.276353;-0.28201699999999996;0.701649;-0.4452653;-0.4489112;-1.5884053071795856
-0.275118;-0.28079;0.749099;-0.4428605;-0.449471;-2.559105307179586
-0.273884;-0.279563;0.7992060000000001;-0.4458748;-0.4483229;3.0387
-0.27141400000000004;-0.277108;0.851718;-0.4428605;-0.449471;2.696
-0.27262;-0.274632;0.896444;-0.44466680000000003;-0.4489017;2.38758
-0.27015;-0.27217800000000003;0.9366129999999999;-0.4434699;-0.44888269999999997;-2.341935307179586
-0.27014;-0.27094399999999996;0.952902;-0.4470827;-0.4477441;-1.5651053071795857
-0.268905;-0.26971599999999996;1.0507;-0.4452544;-0.4495089;-1.1766953071795863
-0.26888100000000004;-0.26663000000000003;1.08185;-0.4428715;-0.44887330000000003;3.04161
-0.26824899999999996;-0.264165;1.16163;-0.4428715;-0.44887330000000003;3.04161
-0.26761199999999996;-0.26108200000000004;1.20747;-0.4428824;-0.4482755;2.38773
-0.266984;-0.25923300000000005;1.22908;-0.44466680000000003;-0.4489017;-2.3418653071795865
